issn,year,anti_labor,neutral,pro_labor,total_labor,anti_labor_intensity,anti_labor_rr,total_labor_rr
1946-6080,1890,70,78,33,181,0.3867403314917127,20,38
1946-6145,1890,64,85,27,176,0.36363636363636365,19,38
1946-6153,1869,3,13,2,18,0.16666666666666666,2,8
1946-6153,1870,1,5,4,10,0.1,0,2
1946-6153,1871,7,11,10,28,0.25,1,8
1946-6153,1872,16,20,8,44,0.36363636363636365,3,7
1946-6153,1873,12,17,2,31,0.3870967741935484,3,7
1946-6153,1874,10,24,4,38,0.2631578947368421,4,16
1946-6153,1875,6,5,4,15,0.4,1,4
1946-6153,1876,6,3,0,9,0.6666666666666666,1,1
1946-6153,1877,61,22,17,100,0.61,44,61
1946-6153,1878,6,14,6,26,0.23076923076923078,1,6
1946-6153,1879,1,3,3,7,0.14285714285714285,0,0
1946-6153,1880,3,4,0,7,0.42857142857142855,1,3
1946-6153,1881,0,2,0,2,0.0,0,0
1946-6153,1882,6,6,3,15,0.4,0,1
1946-6153,1883,2,3,1,6,0.3333333333333333,0,1
1946-6153,1884,5,9,25,39,0.1282051282051282,0,3
1946-6153,1885,7,15,8,30,0.23333333333333334,3,7
1946-6153,1886,163,101,87,351,0.46438746438746437,30,69
1946-6153,1887,35,39,28,102,0.3431372549019608,3,13
1946-6153,1888,28,15,31,74,0.3783783783783784,3,14
1946-6153,1889,17,25,5,47,0.3617021276595745,2,11
1946-6153,1890,18,39,3,60,0.3,9,22
2151-3880,1885,4,8,2,14,0.2857142857142857,0,1
2151-3880,1886,32,6,21,59,0.5423728813559322,3,6
2151-3880,1887,2,1,4,7,0.2857142857142857,0,0
2151-3880,1888,3,17,4,24,0.125,2,8
2151-3899,1880,28,46,27,101,0.27722772277227725,8,36
2151-3899,1881,11,19,9,39,0.28205128205128205,2,15
2151-3899,1882,33,34,22,89,0.3707865168539326,11,30
2151-3899,1883,33,42,17,92,0.358695652173913,10,38
2151-3899,1884,12,26,17,55,0.21818181818181817,5,27
2151-3899,1885,38,48,26,112,0.3392857142857143,23,55
2151-3899,1886,133,194,89,416,0.31971153846153844,44,134
2151-3899,1887,86,84,40,210,0.4095238095238095,17,59
2151-3899,1888,65,71,96,232,0.2801724137931034,15,48
2151-3899,1889,36,59,11,106,0.33962264150943394,5,22
2151-3899,1890,67,84,19,170,0.3941176470588235,23,54
2151-3910,1881,2,0,0,2,1.0,0,0
2151-3910,1882,3,6,6,15,0.2,0,2
