issn,year,anti_labor,neutral,pro_labor,total_labor,anti_labor_intensity,railroad_interest,has_editor,has_publisher,state,year_str,political_affiliation_raw,republican,person_republican,pop_1870,pop_1880,pop_1890,county_pop,log_county_pop
2328-5990,1873,1,0,4,5,0.2,0,0,1,ILLINOIS,1873,Democratic,0.0,0.0,60792.0,70403.0,80798.0,63675.3,11.061552011261766
2328-5990,1877,16,2,5,23,0.6956521739130435,0,0,1,ILLINOIS,1877,Democratic,0.0,0.0,60792.0,70403.0,80798.0,67519.7,11.120174686132005
2328-5990,1878,3,1,5,9,0.3333333333333333,0,0,1,ILLINOIS,1878,Democratic,0.0,0.0,60792.0,70403.0,80798.0,68480.8,11.134308692990377
2328-5990,1879,2,0,2,4,0.5,0,0,1,ILLINOIS,1879,Democratic,0.0,0.0,60792.0,70403.0,80798.0,69441.9,11.148245710711057
2328-5990,1880,0,2,5,7,0.0,0,0,1,ILLINOIS,1880,Democratic,0.0,0.0,60792.0,70403.0,80798.0,70403.0,11.161991154874562
2328-5990,1882,8,0,16,24,0.3333333333333333,0,0,1,ILLINOIS,1882,Democratic,0.0,0.0,60792.0,70403.0,80798.0,72482.0,11.191093534155144
2328-5990,1883,6,3,5,14,0.42857142857142855,0,0,1,ILLINOIS,1883,Democratic,0.0,0.0,60792.0,70403.0,80798.0,73521.5,11.205333159432973
2328-5990,1890,9,16,6,31,0.2903225806451613,0,0,1,ILLINOIS,1890,Democratic,0.0,0.0,60792.0,70403.0,80798.0,80798.0,11.299707491727592
2331-7728,1872,2,0,1,3,0.6666666666666666,1,1,1,VERMONT,1872,Republican,1.0,1.0,22235.0,23607.0,23436.0,22509.4,10.021688278725453
2331-7728,1873,2,0,1,3,0.6666666666666666,1,1,1,VERMONT,1873,Republican,1.0,1.0,22235.0,23607.0,23436.0,22646.6,10.027765009268213
2331-7728,1876,0,0,2,2,0.0,1,1,1,VERMONT,1876,Republican,1.0,1.0,22235.0,23607.0,23436.0,23058.2,10.045776733534447
2331-7728,1877,14,2,6,22,0.6363636363636364,1,1,1,VERMONT,1877,Republican,1.0,1.0,22235.0,23607.0,23436.0,23195.4,10.051709262133075
